query_date,status,pit_candidate_pool_size,n_matches,actual_recession,fwd_credit_spread_change,excluded_2020_flag,neighbor_recession_share_pit_observable_raw,neighbor_recession_share_pit_observable_shrunk,evaluable_neighbor_count_pit_observable,kernel_weight_sum_pit_observable,neighbor_recession_share_in_sample_raw,neighbor_recession_share_in_sample_shrunk,evaluable_neighbor_count_in_sample,kernel_weight_sum_in_sample,dropped_neighbor_count_in_sample,dropped_unresolved_count,unresolved_kernel_weight_in_sample,contamination_weight_fraction
1976Q1,insufficient_pool,1,0,False,-1.3166666666666647,False,,,0,0.0,,,0,0.0,0,0,0.0,
1976Q2,insufficient_pool,2,0,False,-0.9733333333333327,False,,,0,0.0,,,0,0.0,0,0,0.0,
1976Q3,insufficient_pool,3,0,False,-0.8799999999999999,False,,,0,0.0,,,0,0.0,0,0,0.0,
1976Q4,insufficient_pool,4,0,False,-1.0566666666666658,False,,,0,0.0,,,0,0.0,0,0,0.0,
1977Q1,insufficient_pool,5,0,False,-0.7033333333333358,False,,,0,0.0,,,0,0.0,0,0,0.0,
1977Q2,insufficient_pool,6,0,False,-0.34666666666666845,False,,,0,0.0,,,0,0.0,0,0,0.0,
1977Q3,insufficient_pool,7,0,False,-0.18333333333333446,False,,,0,0.0,,,0,0.0,0,0,0.0,
1977Q4,insufficient_pool,8,0,False,0.023333333333334316,False,,,0,0.0,,,0,0.0,0,0,0.0,
1978Q1,insufficient_pool,9,0,True,0.30666666666666487,False,,,0,0.0,,,0,0.0,0,0,0.0,
1978Q2,insufficient_pool,10,0,True,1.7300000000000004,False,,,0,0.0,,,0,0.0,0,0,0.0,
1978Q3,insufficient_pool,11,0,True,1.2033333333333331,False,,,0,0.0,,,0,0.0,0,0,0.0,
1978Q4,insufficient_pool,12,0,True,1.280000000000003,False,,,0,0.0,,,0,0.0,0,0,0.0,
1979Q1,insufficient_pool,13,0,True,1.2366666666666664,False,,,0,0.0,,,0,0.0,0,0,0.0,
1979Q2,insufficient_pool,14,0,True,0.740000000000002,False,,,0,0.0,,,0,0.0,0,0,0.0,
1979Q3,insufficient_pool,15,0,True,0.3400000000000052,False,,,0,0.0,,,0,0.0,0,0,0.0,
1979Q4,insufficient_pool,16,0,True,1.2266666666666648,False,,,0,0.0,,,0,0.0,0,0,0.0,
1980Q1,insufficient_pool,17,0,True,1.2466666666666715,False,,,0,0.0,,,0,0.0,0,0,0.0,
1980Q2,insufficient_pool,18,0,True,-0.02999999999999936,False,,,0,0.0,,,0,0.0,0,0,0.0,
1980Q3,insufficient_pool,19,0,True,0.9199999999999999,False,,,0,0.0,,,0,0.0,0,0,0.0,
1980Q4,insufficient_pool,20,0,True,1.4766666666666648,False,,,0,0.0,,,0,0.0,0,0,0.0,
1981Q1,insufficient_pool,21,0,True,0.9833333333333343,False,,,0,0.0,,,0,0.0,0,0,0.0,
1981Q2,insufficient_pool,22,0,True,0.6866666666666639,False,,,0,0.0,,,0,0.0,0,0,0.0,
1981Q3,insufficient_pool,23,0,True,0.26999999999999424,False,,,0,0.0,,,0,0.0,0,0,0.0,
1981Q4,insufficient_pool,24,0,True,-0.6766666666666659,False,,,0,0.0,,,0,0.0,0,0,0.0,
1982Q1,insufficient_pool,25,0,True,-0.940000000000003,False,,,0,0.0,,,0,0.0,0,0,0.0,
1982Q2,insufficient_pool,26,0,True,-1.3500000000000014,False,,,0,0.0,,,0,0.0,0,0,0.0,
1982Q3,insufficient_pool,27,0,True,-1.2899999999999991,False,,,0,0.0,,,0,0.0,0,0,0.0,
1982Q4,insufficient_pool,28,0,False,-1.8600000000000012,False,,,0,0.0,,,0,0.0,0,0,0.0,
1983Q1,insufficient_pool,29,0,False,-1.4600000000000009,False,,,0,0.0,,,0,0.0,0,0,0.0,
1983Q2,unprecedented_state,30,0,False,-0.49999999999999645,False,,,0,0.0,,,0,0.0,0,0,0.0,
1983Q3,unprecedented_state,31,0,False,0.23333333333333428,False,,,0,0.0,,,0,0.0,0,0,0.0,
1983Q4,unprecedented_state,32,0,False,0.29666666666666686,False,,,0,0.0,,,0,0.0,0,0,0.0,
1984Q1,unprecedented_state,33,0,False,0.6599999999999984,False,,,0,0.0,,,0,0.0,0,0,0.0,
1984Q2,ok,34,1,False,1.1700000000000008,False,1.0,0.4069773318451792,1,0.6791480308954622,1.0,0.4069773318451792,1,0.6791480308954622,0,0,0.0,0.0
1984Q3,ok,35,3,False,1.0299999999999985,False,1.0,0.5910458443138286,3,2.3351167887201867,1.0,0.5910458443138286,3,2.3351167887201867,0,0,0.0,0.0
1984Q4,ok,36,3,False,0.9666666666666677,False,0.0,0.16495091648672652,3,1.9601532116837714,0.0,0.16495091648672652,3,1.9601532116837714,0,0,0.0,0.0
1985Q1,unprecedented_state,37,0,False,0.656666666666669,False,,,0,0.0,,,0,0.0,0,0,0.0,
1985Q2,unprecedented_state,38,0,False,-0.19333333333333513,False,,,0,0.0,,,0,0.0,0,0,0.0,
1985Q3,unprecedented_state,39,0,False,-0.1033333333333335,False,,,0,0.0,,,0,0.0,0,0,0.0,
1985Q4,unprecedented_state,40,0,False,0.040000000000000924,False,,,0,0.0,,,0,0.0,0,0,0.0,
1986Q1,unprecedented_state,41,0,False,-0.12333333333333307,False,,,0,0.0,,,0,0.0,0,0,0.0,
1986Q2,unprecedented_state,42,0,False,-0.6000000000000023,False,,,0,0.0,,,0,0.0,0,0,0.0,
1986Q3,ok,43,1,False,-0.8999999999999995,False,,,0,0.0,0.0,0.22443958579494686,1,0.645443451002123,0,1,0.645443451002123,1.0
1986Q4,ok,44,2,False,-1.2733333333333343,False,,,0,0.0,0.0,0.18352063980250388,2,1.4582550445677729,0,2,1.4582550445677729,1.0
1987Q1,ok,45,4,False,-1.0300000000000002,False,0.0,0.13952242849143953,4,2.8641598130727637,0.0,0.13952242849143953,4,2.8641598130727637,0,0,0.0,0.0
1987Q2,ok,46,2,False,-0.41999999999999993,False,1.0,0.49337878564251786,2,1.306606434918548,1.0,0.49337878564251786,2,1.306606434918548,0,0,0.0,0.0
1987Q3,ok,47,1,False,-0.25,False,0.0,0.2267805459035925,1,0.6078130728622482,0.0,0.2267805459035925,1,0.6078130728622482,0,0,0.0,0.0
1987Q4,unprecedented_state,48,0,False,-0.34999999999999964,False,,,0,0.0,,,0,0.0,0,0,0.0,
1988Q1,ok,49,1,False,-0.663333333333334,False,0.0,0.22594743492131636,1,0.6211157629062737,0.0,0.22594743492131636,1,0.6211157629062737,0,0,0.0,0.0
1988Q2,ok,50,2,False,-0.43666666666666565,False,0.0,0.18479751986392284,2,1.4274502102857927,0.0,0.18479751986392284,2,1.4274502102857927,0,0,0.0,0.0
1988Q3,ok,51,3,True,-0.2599999999999998,False,0.32332590537976114,0.29262100388046547,3,1.943702488703559,0.32332590537976114,0.29262100388046547,3,1.943702488703559,0,0,0.0,0.0
1988Q4,ok,52,4,True,0.6433333333333326,False,0.49472660601331747,0.37937195830719406,4,2.773482153530784,0.49472660601331747,0.37937195830719406,4,2.773482153530784,0,0,0.0,0.0
1989Q1,ok,53,4,True,0.75,False,0.5025142406161729,0.38288736826416114,4,2.762592385080506,0.5025142406161729,0.38288736826416114,4,2.762592385080506,0,0,0.0,0.0
1989Q2,ok,54,3,True,0.19666666666666544,False,0.6506078927222789,0.4262982652904746,3,2.0539153087830524,0.6506078927222789,0.4262982652904746,3,2.0539153087830524,0,0,0.0,0.0
1989Q3,ok,55,2,True,-0.03666666666666618,False,0.0,0.1903663425020757,2,1.2979331715263531,0.0,0.1903663425020757,2,1.2979331715263531,0,0,0.0,0.0
1989Q4,ok,56,4,True,0.1466666666666656,False,0.0,0.14265426131644252,4,2.735418000356036,0.0,0.14265426131644252,4,2.735418000356036,0,0,0.0,0.0
1990Q1,ok,57,2,True,0.22666666666666746,False,0.0,0.18540526386330689,2,1.4129373736931021,0.0,0.18540526386330689,2,1.4129373736931021,0,0,0.0,0.0
1990Q2,unprecedented_state,58,0,True,0.12000000000000188,False,,,0,0.0,,,0,0.0,0,0,0.0,
1990Q3,unprecedented_state,59,0,True,0.3733333333333331,False,,,0,0.0,,,0,0.0,0,0,0.0,
1990Q4,ok,60,1,True,-0.07333333333333325,False,1.0,0.4008138498395758,1,0.6413027591409259,1.0,0.4008138498395758,1,0.6413027591409259,0,0,0.0,0.0
1991Q1,unprecedented_state,61,0,False,-0.06333333333333346,False,,,0,0.0,,,0,0.0,0,0,0.0,
1991Q2,ok,62,1,False,0.3600000000000021,False,,,0,0.0,1.0,0.40647974222404676,1,0.6760635432965995,0,1,0.6760635432965995,1.0
1991Q3,unprecedented_state,63,0,False,0.26333333333333186,False,,,0,0.0,,,0,0.0,0,0,0.0,
1991Q4,ok,64,1,False,-0.10666666666666647,False,,,0,0.0,1.0,0.39853774652249246,1,0.6275230393984712,0,1,0.6275230393984712,1.0
1992Q1,unprecedented_state,65,0,False,-0.11999999999999922,False,,,0,0.0,,,0,0.0,0,0,0.0,
1992Q2,unprecedented_state,66,0,False,-0.240000000000002,False,,,0,0.0,,,0,0.0,0,0,0.0,
1992Q3,unprecedented_state,67,0,False,-0.5799999999999974,False,,,0,0.0,,,0,0.0,0,0,0.0,
1992Q4,ok,68,4,False,-0.7566666666666668,False,0.0,0.16416592568563348,3,1.9838711338221322,0.0,0.14424833663026015,4,2.6720364150818323,0,1,0.6881652812597002,0.25754337679511935
1993Q1,ok,69,6,False,-0.7300000000000004,False,0.0,0.12809029350907697,5,3.387539568904482,0.0,0.11621497049030116,6,4.040244597834324,0,1,0.6527050289298421,0.16155086978637603
1993Q2,ok,70,7,False,-0.5366666666666688,False,0.0,0.10191576106233198,7,5.02802049117227,0.0,0.10191576106233198,7,5.02802049117227,0,0,0.0,0.0
1993Q3,ok,71,3,False,-0.2766666666666655,False,0.0,0.15997423068701744,3,2.114460089403743,0.0,0.15997423068701744,3,2.114460089403743,0,0,0.0,0.0
1993Q4,ok,72,6,False,-0.20000000000000018,False,0.0,0.12093557725722448,5,3.765435256835816,0.0,0.10994138531242142,6,4.441982069416203,0,1,0.6765468125803866,0.15230741637579442
1994Q1,ok,73,8,False,0.019999999999999574,False,0.0,0.12407180866596101,5,3.594421625500859,0.0,0.09547696886372897,8,5.569415513699237,0,3,1.9749938881983775,0.35461421101378293
1994Q2,ok,74,3,False,0.06333333333333435,False,0.0,0.16878067525112392,3,1.8476036546510366,0.0,0.16878067525112392,3,1.8476036546510366,0,0,0.0,0.0
1994Q3,ok,75,1,False,0.006666666666664156,False,0.0,0.226859864023042,1,0.6065516556014334,0.0,0.226859864023042,1,0.6065516556014334,0,0,0.0,0.0
1994Q4,ok,76,5,False,0.20333333333333403,False,0.6030904199709188,0.4485313478387603,5,3.412366663818284,0.6030904199709188,0.4485313478387603,5,3.412366663818284,0,0,0.0,0.0
1995Q1,ok,77,9,False,0.11333333333333329,False,0.7732911861499524,0.6105217309427476,9,6.2258817132268005,0.7732911861499524,0.6105217309427476,9,6.2258817132268005,0,0,0.0,0.0
1995Q2,ok,78,3,False,-0.12333333333333307,False,1.0,0.4983633854236237,2,1.3493997814746646,0.679835070808297,0.43483012741221244,3,1.9848928650742916,0,1,0.6354930835996271,0.32016492919170303
1995Q3,ok,79,4,False,-0.2166666666666659,False,0.2403082107550739,0.2572367910921709,4,2.745147199583456,0.2403082107550739,0.2572367910921709,4,2.745147199583456,0,0,0.0,0.0
