date,score_total,confidence,environment,layer_agreement,layer_monetary,layer_credit,layer_volatility,layer_breadth,layer_positioning,dq_monetary,dq_credit,dq_volatility,dq_breadth,dq_positioning,status_monetary,status_credit,status_volatility,status_breadth,status_positioning,volume_confirmation,signal_time,fwd_ret_oc_1d,fwd_ret_cc_1d,fwd_ret_cc_3d,fwd_ret_cc_5d,fwd_ret_cc_10d,fwd_ret_cc_21d,fwd_ret_cc_63d,fwd_ret_cc_126d,fwd_ret_cc_252d,fwd_5d_max_upside_pct,fwd_5d_max_drawdown_pct,tail_loss_3d_1p5,tail_loss_5d_2p5,big_win_3d_1p5,fwd_ret_cc_1m,fwd_ret_cc_3m,fwd_ret_cc_6m,fwd_ret_cc_1y,spy_ret_1d,spy_open,spy_close,spy_prev_close,spy_high,spy_low,spy_clv,spy_range_pct,spy_vol,spy_vol_vs_20d_pct,spy_vol_z_20d,vix_level,vix_z_20d,vix_change_pct_1d,vix_term_slope,vvix_level,vvix_z,skew_level,net_liquidity_z,nfci_inverted,m2_growth_yoy,hy_spread_level,hy_spread_z,hy_spread_chg_4w,ig_spread_level,ig_spread_z,baa_spread_level,baa_spread_z,baa_spread_chg_4w,aaa_spread_level,aaa_spread_z,hyg_tlt_ratio_z,pct_above_200d,rsp_minus_spy,rsp_vs_spy_z,new_highs_minus_lows_z,dispersion,sectors_green,cot_net_large_spec_z,aaii_bull_minus_bear,ret_BTC-USD_1d,ret_DIA_1d,ret_GLD_1d,ret_HYG_1d,ret_IWM_1d,ret_QQQ_1d,ret_RSP_1d,ret_SPY_1d,ret_TLT_1d,ret_USO_1d,ret_^SKEW_1d,ret_^VIX_1d,ret_^VIX3M_1d,ret_^VVIX_1d,ret_BTC-USD_5d,ret_DIA_5d,ret_GLD_5d,ret_HYG_5d,ret_IWM_5d,ret_QQQ_5d,ret_RSP_5d,ret_SPY_5d,ret_TLT_5d,ret_USO_5d,ret_^SKEW_5d,ret_^VIX_5d,ret_^VIX3M_5d,ret_^VVIX_5d,ret_BTC-USD_21d,ret_DIA_21d,ret_GLD_21d,ret_HYG_21d,ret_IWM_21d,ret_QQQ_21d,ret_RSP_21d,ret_SPY_21d,ret_TLT_21d,ret_USO_21d,ret_^SKEW_21d,ret_^VIX_21d,ret_^VIX3M_21d,ret_^VVIX_21d,ret_XLB_1d,ret_XLC_1d,ret_XLE_1d,ret_XLF_1d,ret_XLI_1d,ret_XLK_1d,ret_XLP_1d,ret_XLRE_1d,ret_XLU_1d,ret_XLV_1d,ret_XLY_1d,feature_version
1/4/10,45.61,21.2,Complacency Warning,0.1,5,8.09,7.55,0,0.75,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,bearish,bearish,,close,0.008543197,0.002647096,0.007588464,0.012353318,0.015265117,-0.030883261,0.050383826,-0.092296823,0.121062393,,,0,0,0,-0.030883261,0.050383826,-0.092296823,0.121062393,,112.3700027,113.3300018,,113.3899994,111.5100021,0.936172717,1.658869869,118944600,,,20.04000092,,,2.729999542,73.30000305,,123.8399963,,,,,,,,,254,,,150,,,,,,,,0,,26.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v2_layers_2026
1/4/10,50,30,Mixed / Neutral,1,5,5,5,5,5,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,,open,0.008543197,0.002647096,0.007588464,0.012353318,0.015265117,-0.030883261,0.050383826,-0.092296823,0.121062393,,,0,0,0,-0.030883261,0.050383826,-0.092296823,0.121062393,,112.3700027,113.3300018,,113.3899994,111.5100021,0.936172717,1.658869869,118944600,,,20.04000092,,,2.729999542,73.30000305,,123.8399963,,,,,,,,,254,,,150,,,,,,,,0,,26.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v2_layers_2026
1/5/10,57.48,21.2,Chop / Layer Divergence,0.1,5,8.16,7.82,5.56,0.75,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,neutral,bearish,,close,0.003266777,0.000704056,0.008272485,0.000264071,0.002288147,-0.063275499,0.041626362,-0.066179678,0.117486636,,,0,0,0,-0.063275499,0.041626362,-0.066179678,0.117486636,0.002647096,113.2600021,113.6299973,113.3300018,113.6800003,112.8499985,0.879510984,0.730442534,111579900,,,19.35000038,,-0.034431163,3.039999008,70.36000061,,122.9899979,,,,,,,,,253,,,147,,,,0.003077133,,,0.008548168,6,,26.23,,-0.001608989,-0.000910802,0.004744134,-0.003438594,0,0.005724229,0.002647096,0.006458099,0.003476518,-0.006863683,-0.034431163,-0.016688672,-0.040109172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00323341,,0.008161869,0.018379912,0.003531087,-0.001289243,0.000374962,,-0.011904789,-0.009807066,0.003666687,v2_layers_2026
1/5/10,45.61,21.2,Complacency Warning,0.1,5,8.09,7.55,0,0.75,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,bearish,bearish,,open,0.003266777,0.000704056,0.008272485,0.000264071,0.002288147,-0.063275499,0.041626362,-0.066179678,0.117486636,,,0,0,0,-0.063275499,0.041626362,-0.066179678,0.117486636,0.002647096,113.2600021,113.6299973,113.3300018,113.6800003,112.8499985,0.879510984,0.730442534,111579900,,,19.35000038,,-0.034431163,3.039999008,70.36000061,,122.9899979,,,,,,,,,253,,,147,,,,0.003077133,,,0.008548168,6,,26.23,,-0.001608989,-0.000910802,0.004744134,-0.003438594,0,0.005724229,0.002647096,0.006458099,0.003476518,-0.006863683,-0.034431163,-0.016688672,-0.040109172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00323341,,0.008161869,0.018379912,0.003531087,-0.001289243,0.000374962,,-0.011904789,-0.009807066,0.003666687,v2_layers_2026
1/6/10,59.94,30.2,Chop / Layer Divergence,0.4,5,8.23,7.86,6.67,0.75,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,bullish,bearish,,close,0.001673735,0.004221294,0.008970225,0.008002846,-0.017676565,-0.061999784,0.044499143,-0.057602634,0.122504621,,,0,0,0,-0.061999784,0.044499143,-0.057602634,0.122504621,0.000704056,113.5199966,113.7099991,113.6299973,113.9899979,113.4300003,0,0.492478729,116074400,,,19.15999985,,-0.009819149,2.63999939,67.65000153,,121.6299973,,,,,,,,,249,,,145,,,,0.003007935,,,0.007758979,7,,26.23,,0.000663567,0.016499592,0.00258576,-0.000940991,-0.006031857,0.00371199,0.000704056,-0.013386427,0.01385799,-0.011057815,-0.009819149,-0.026351057,-0.038516189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016993788,,0.011975022,0.002005328,0.002111171,-0.011187618,-0.000749642,,0.005861293,0.010223694,0.001328429,v2_layers_2026
1/6/10,57.48,21.2,Chop / Layer Divergence,0.1,5,8.16,7.82,5.56,0.75,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,neutral,bearish,,open,0.001673735,0.004221294,0.008970225,0.008002846,-0.017676565,-0.061999784,0.044499143,-0.057602634,0.122504621,,,0,0,0,-0.061999784,0.044499143,-0.057602634,0.122504621,0.000704056,113.5199966,113.7099991,113.6299973,113.9899979,113.4300003,0,0.492478729,116074400,,,19.15999985,,-0.009819149,2.63999939,67.65000153,,121.6299973,,,,,,,,,249,,,145,,,,0.003007935,,,0.007758979,7,,26.23,,0.000663567,0.016499592,0.00258576,-0.000940991,-0.006031857,0.00371199,0.000704056,-0.013386427,0.01385799,-0.011057815,-0.009819149,-0.026351057,-0.038516189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016993788,,0.011975022,0.002005328,0.002111171,-0.011187618,-0.000749642,,0.005861293,0.010223694,0.001328429,v2_layers_2026
1/7/10,56.97,21.2,Complacency Warning,0.1,5,8.21,7.93,3.33,3,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,bearish,bearish,,close,0.006079317,0.003327763,-0.004641376,0.006480409,-0.043611553,-0.0726859,0.046939316,-0.054558221,0.115596783,,,0,0,0,-0.0726859,0.046939316,-0.054558221,0.115596783,0.004221294,113.5,114.1900024,113.7099991,114.3300018,113.1800003,0.756523124,1.007094755,131091100,,,19.05999947,,-0.005219227,2.540000916,67.15000153,,120.1699982,,,,,,,,,248,,,146,,,,0.000709597,,,0.008672966,4,,15,,0.003599895,-0.006187808,0.004036786,0.007378295,0.000650169,0.004930891,0.004221294,0.001682009,-0.006102026,-0.01200361,-0.005219227,-0.00917426,-0.007390983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007778752,,-0.001500003,0.021347593,0.01088488,-0.003916456,0,,-0.004532191,0.00347877,0.008291874,v2_layers_2026
1/7/10,59.94,30.2,Chop / Layer Divergence,0.4,5,8.23,7.86,6.67,0.75,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,bullish,bearish,,open,0.006079317,0.003327763,-0.004641376,0.006480409,-0.043611553,-0.0726859,0.046939316,-0.054558221,0.115596783,,,0,0,0,-0.0726859,0.046939316,-0.054558221,0.115596783,0.004221294,113.5,114.1900024,113.7099991,114.3300018,113.1800003,0.756523124,1.007094755,131091100,,,19.05999947,,-0.005219227,2.540000916,67.15000153,,120.1699982,,,,,,,,,248,,,146,,,,0.000709597,,,0.008672966,4,,15,,0.003599895,-0.006187808,0.004036786,0.007378295,0.000650169,0.004930891,0.004221294,0.001682009,-0.006102026,-0.01200361,-0.005219227,-0.00917426,-0.007390983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007778752,,-0.001500003,0.021347593,0.01088488,-0.003916456,0,,-0.004532191,0.00347877,0.008291874,v2_layers_2026
1/8/10,59.32,21.2,Complacency Warning,0.1,5,8.15,8.05,4.44,3,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,neutral,bearish,,close,0.005970676,0.001396558,0.000436441,-0.008117311,-0.041895811,-0.064152906,0.045125235,-0.057083014,0.109714583,0.00488782,-0.015012667,0,0,0,-0.064152906,0.045125235,-0.057083014,0.109714583,0.003327763,113.8899994,114.5699997,114.1900024,114.6200027,113.6600037,0.895826876,0.837914888,126402800,,,18.12999916,,-0.048793302,2.870000839,65.70999908,,120.1500015,,,,,,,,,249,,,149,,,,0.000107056,,,0.007117647,5,,15,,0.001604665,0.004963031,0.00156354,0.005454238,0.008230476,0.003434819,0.003327763,-0.000447788,0.005157148,-0.000166403,-0.048793302,-0.027777795,-0.021444563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013937269,,0.006509754,-0.00587853,0.015977738,0.006553147,-0.00337585,,-0.000975632,0.001575832,-0.000328955,v2_layers_2026
1/8/10,56.97,21.2,Complacency Warning,0.1,5,8.21,7.93,3.33,3,0,0.33,0.57,0.2,0.2,neutral,bullish,bullish,bearish,bearish,,open,0.005970676,0.001396558,0.000436441,-0.008117311,-0.041895811,-0.064152906,0.045125235,-0.057083014,0.109714583,0.00488782,-0.015012667,0,0,0,-0.064152906,0.045125235,-0.057083014,0.109714583,0.003327763,113.8899994,114.5699997,114.1900024,114.6200027,113.6600037,0.895826876,0.837914888,126402800,,,18.12999916,,-0.048793302,2.870000839,65.70999908,,120.1500015,,,,,,,,,249,,,149,,,,0.000107056,,,0.007117647,5,,15,,0.001604665,0.004963031,0.00156354,0.005454238,0.008230476,0.003434819,0.003327763,-0.000447788,0.005157148,-0.000166403,-0.048793302,-0.027777795,-0.021444563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013937269,,0.006509754,-0.00587853,0.015977738,0.006553147,-0.00337585,,-0.000975632,0.001575832,-0.000328955,v2_layers_2026
