ticker,company_name,index_memberships,sector,industry,exchange
A,Agilent Technologies,S&P 500,Health Care,Life Sciences Tools & Services,
AAPL,Apple Inc.,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",
ABBV,AbbVie,S&P 500,Health Care,Biotechnology,
ABNB,Airbnb,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
ABT,Abbott Laboratories,S&P 500,Health Care,Health Care Equipment,
ACGL,Arch Capital Group,S&P 500,Financials,Property & Casualty Insurance,
ACN,Accenture,S&P 500,Information Technology,IT Consulting & Other Services,
ADBE,Adobe Inc.,S&P 500,Information Technology,Application Software,
ADI,Analog Devices,S&P 500,Information Technology,Semiconductors,
ADM,Archer Daniels Midland,S&P 500,Consumer Staples,Agricultural Products & Services,
ADP,Automatic Data Processing,S&P 500,Industrials,Human Resource & Employment Services,
ADSK,Autodesk,S&P 500,Information Technology,Application Software,
AEE,Ameren,S&P 500,Utilities,Multi-Utilities,
AEP,American Electric Power,S&P 500,Utilities,Electric Utilities,
AES,AES Corporation,S&P 500,Utilities,Independent Power Producers & Energy Traders,
AFL,Aflac,S&P 500,Financials,Life & Health Insurance,
AIG,American International Group,S&P 500,Financials,Multi-line Insurance,
AIZ,Assurant,S&P 500,Financials,Multi-line Insurance,
AJG,Arthur J. Gallagher & Co.,S&P 500,Financials,Insurance Brokers,
AKAM,Akamai Technologies,S&P 500,Information Technology,Internet Services & Infrastructure,
ALB,Albemarle Corporation,S&P 500,Materials,Specialty Chemicals,
ALGN,Align Technology,S&P 500,Health Care,Health Care Supplies,
ALL,Allstate,S&P 500,Financials,Property & Casualty Insurance,
ALLE,Allegion,S&P 500,Industrials,Building Products,
AMAT,Applied Materials,S&P 500,Information Technology,Semiconductor Materials & Equipment,
AMCR,Amcor,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,
AMD,Advanced Micro Devices,S&P 500,Information Technology,Semiconductors,
AME,Ametek,S&P 500,Industrials,Electrical Components & Equipment,
AMGN,Amgen,S&P 500,Health Care,Biotechnology,
AMP,Ameriprise Financial,S&P 500,Financials,Asset Management & Custody Banks,
AMT,American Tower,S&P 500,Real Estate,Telecom Tower REITs,
AMZN,Amazon,S&P 500,Consumer Discretionary,Broadline Retail,
ANET,Arista Networks,S&P 500,Information Technology,Communications Equipment,
AON,Aon plc,S&P 500,Financials,Insurance Brokers,
AOS,A. O. Smith,S&P 500,Industrials,Building Products,
APA,APA Corporation,S&P 500,Energy,Oil & Gas Exploration & Production,
APD,Air Products,S&P 500,Materials,Industrial Gases,
APH,Amphenol,S&P 500,Information Technology,Electronic Components,
APO,Apollo Global Management,S&P 500,Financials,Asset Management & Custody Banks,
APP,AppLovin,S&P 500,Information Technology,Application Software,
APTV,Aptiv,S&P 500,Consumer Discretionary,Automotive Parts & Equipment,
ARE,Alexandria Real Estate Equities,S&P 500,Real Estate,Office REITs,
ARES,Ares Management,S&P 500,Financials,Asset Management & Custody Banks,
ATO,Atmos Energy,S&P 500,Utilities,Gas Utilities,
AVB,AvalonBay Communities,S&P 500,Real Estate,Multi-Family Residential REITs,
AVGO,Broadcom,S&P 500,Information Technology,Semiconductors,
AVY,Avery Dennison,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,
AWK,American Water Works,S&P 500,Utilities,Water Utilities,
AXON,Axon Enterprise,S&P 500,Industrials,Aerospace & Defense,
AXP,American Express,S&P 500,Financials,Consumer Finance,
AZO,AutoZone,S&P 500,Consumer Discretionary,Automotive Retail,
BA,Boeing,S&P 500,Industrials,Aerospace & Defense,
